City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Klaksvík,62.23,-6.59,37.4,72,43,9.17,FO,1607305547
Chākuliā,22.48,86.72,66.96,49,0,4.41,IN,1607305547
Jamestown,42.1,-79.24,28.0,79,90,5.82,US,1607305367
Hilo,19.73,-155.09,82.4,65,75,12.75,US,1607305548
Saint Paul Harbor,57.79,-152.41,42.8,87,90,19.46,US,1607305548
Egvekinot,66.32,-179.17,9.88,85,17,5.23,RU,1607305548
Malakal,9.53,31.66,75.06,20,0,7.07,SS,1607305548
Hamilton,39.18,-84.53,37.4,69,90,6.93,US,1607305503
Hobart,-42.88,147.33,63.0,44,75,12.75,AU,1607305548
Lipin Bor,60.26,37.98,26.38,91,0,12.73,RU,1607305548
Mahébourg,-20.41,57.7,75.2,83,20,8.05,MU,1607305265
Saint George,37.1,-113.58,46.99,19,1,3.36,US,1607305548
Saint-Philippe,-21.36,55.77,75.2,73,20,5.82,RE,1607305548
Wote,-1.78,37.63,63.95,94,48,1.34,KE,1607305549
Beringovskiy,63.05,179.32,18.03,94,57,4.56,RU,1607305549
Asamankese,5.86,-0.66,82.4,83,20,11.41,GH,1607305549
Tasiilaq,65.61,-37.64,26.6,63,98,13.87,GL,1607305009
Mayo,38.89,-76.51,39.2,60,1,9.17,US,1607305549
Honiara,-9.43,159.95,87.8,74,40,10.29,SB,1607305549
Antoniny,49.81,26.88,24.64,82,0,18.81,UA,1607305549
Talnakh,69.49,88.4,12.2,92,90,17.9,RU,1607305549
Muros,42.78,-9.06,55.0,86,100,10.0,ES,1607305549
Española,35.99,-106.08,42.8,24,1,6.93,US,1607305476
Severo-Kuril'sk,50.68,156.12,28.04,89,100,9.44,RU,1607305550
Davenda,53.56,119.32,2.57,84,100,3.94,RU,1607305550
Qaanaaq,77.48,-69.36,-1.75,72,98,2.82,GL,1607305550
Bathsheba,13.22,-59.52,78.8,74,20,12.75,BB,1607305550
Dunedin,-45.87,170.5,61.0,68,25,15.99,NZ,1607305550
Portland,45.52,-122.68,46.99,81,90,4.7,US,1607305255
Pacific Grove,36.62,-121.92,53.6,87,20,3.36,US,1607305003
Turtas,58.94,69.13,14.07,97,100,8.43,RU,1607305551
Cherskiy,68.75,161.3,-0.04,93,100,1.57,RU,1607305551
Ust-Maya,60.42,134.53,-8.32,90,100,4.74,RU,1607305551
Sidi Ali,36.1,0.42,49.93,71,0,9.93,DZ,1607305551
Batemans Bay,-35.72,150.18,77.0,47,0,10.0,AU,1607305283
Ciudad del Maíz,22.4,-99.6,57.0,58,100,5.99,MX,1607305552
Folldal,62.13,10.0,24.3,93,100,2.15,NO,1607305552
Syas'stroy,60.14,32.57,31.89,84,0,16.11,RU,1607305552
Itoman,26.12,127.67,73.4,83,75,11.41,JP,1607305256
Ol'ga,43.74,135.29,27.25,82,0,11.25,RU,1607305553
Acapulco de Juárez,16.86,-99.89,82.4,78,40,5.82,MX,1607305282
Fortuna,40.6,-124.16,51.01,87,74,4.9,US,1607305553
Sola,-13.88,167.55,81.54,73,12,4.94,VU,1607305553
Tres Arroyos,-38.37,-60.28,66.29,29,0,13.71,AR,1607305553
Khatanga,71.97,102.5,-19.1,88,62,4.09,RU,1607305553
Busselton,-33.65,115.33,79.0,30,0,7.81,AU,1607305554
Lakatoro,-16.1,167.42,86.0,74,40,6.93,VU,1607305554
Cidreira,-30.18,-50.21,65.77,89,89,18.88,BR,1607305554
Port Alfred,-33.59,26.89,69.06,89,100,25.93,ZA,1607305554
Lagoa,39.05,-27.98,60.6,72,100,8.14,PT,1607305554
Sittwe,20.15,92.9,68.54,64,0,6.2,MM,1607305555
Kamenka,51.32,42.77,12.99,93,0,7.52,RU,1607304975
Toca,5.56,-73.18,46.38,95,48,1.72,CO,1607305556
Provideniya,64.38,-173.3,19.4,67,20,6.71,RU,1607305556
Waipawa,-41.41,175.52,66.2,88,76,20.8,NZ,1607305556
Barabai,-2.58,115.38,90.28,55,100,1.83,ID,1607305349
Alice Springs,-23.7,133.88,80.6,22,75,13.87,AU,1607305481
Palmer,42.16,-72.33,30.2,58,40,10.29,US,1607305557
Saskylakh,71.92,114.08,-9.04,90,100,6.02,RU,1607304998
Ahipara,-35.17,173.17,72.5,68,99,12.91,NZ,1607305557
George Town,5.41,100.34,80.6,83,20,5.82,MY,1607305557
Evans,33.53,-82.13,55.0,62,20,3.36,US,1607305557
San-Pédro,4.75,-6.64,77.05,86,1,4.59,CI,1607305557
Tuktoyaktuk,69.45,-133.04,-4.0,76,75,6.93,CA,1607305557
Nāravārikuppam,13.2,80.17,78.8,94,75,2.24,IN,1607305558
Wāngjing,24.6,94.03,56.86,80,1,1.25,IN,1607305558
Hofn,64.25,-15.21,34.54,88,100,9.37,IS,1607305275
Andra,62.51,65.89,23.27,97,100,9.28,RU,1607305558
Kavieng,-2.57,150.8,85.77,67,1,11.01,PG,1607305558
Gladstone,-23.85,151.25,89.6,46,35,14.99,AU,1607305558
Yangjiang,21.85,111.97,72.0,45,43,7.23,CN,1607305559
Kedrovyy,56.17,91.82,17.6,61,75,11.18,RU,1607305559
Mocuba,-16.84,36.99,74.91,93,99,2.33,MZ,1607305559
Bethel,41.37,-73.41,30.99,58,1,5.82,US,1607305559
Kota Tinggi,1.74,103.9,82.0,88,20,2.24,MY,1607305559
Berlevåg,70.86,29.09,31.1,90,99,3.71,NO,1607305559
Geraldton,-28.77,114.6,89.6,13,0,17.22,AU,1607305560
Balabac,7.99,117.06,82.63,80,100,9.55,PH,1607305560
Lebu,-37.62,-73.65,52.72,96,66,10.2,CL,1607305560
San Cristobal,7.77,-72.22,80.6,78,40,2.33,VE,1607305560
Yellowknife,62.46,-114.35,17.6,92,90,3.36,CA,1607305391
Altay,47.87,88.12,10.62,65,0,3.42,CN,1607305560
Abidjan,5.31,-4.02,82.4,83,20,5.82,CI,1607305560
São Marcos,-28.97,-51.07,60.01,98,78,3.69,BR,1607305560
Panzhihua,26.59,101.71,56.26,55,46,0.63,CN,1607305561
Sémbé,1.65,14.58,70.48,87,95,1.74,CG,1607305561
Diffa,13.32,12.61,73.78,23,84,8.05,NE,1607305561
Khombole,14.77,-16.7,71.6,78,0,17.22,SN,1607305561
Carnarvon,-24.87,113.63,91.4,14,0,12.75,AU,1607305561
Ilulissat,69.22,-51.1,23.0,49,100,16.11,GL,1607305561
Baiima,8.1,-11.85,73.29,97,49,1.05,SL,1607305562
Lüderitz,-26.65,15.16,58.37,84,0,11.79,NA,1607305562
Vereshchagino,58.08,54.66,13.89,95,89,6.38,RU,1607305562
Puerto Madryn,-42.77,-65.04,83.07,22,99,23.29,AR,1607305562
Dalvik,65.97,-18.53,15.8,85,20,4.7,IS,1607305562
Sinnamary,5.38,-52.95,78.28,87,100,8.55,GF,1607305563
Gizo Government Station,-8.1,156.84,85.42,69,57,3.65,SB,1607305563
Marawi,8.0,124.29,81.0,82,98,5.01,PH,1607305563
Bahía Honda,22.9,-83.16,74.53,88,100,8.34,CU,1607305563
Vao,-22.67,167.48,77.43,85,31,17.72,NC,1607305563
Bonavista,48.65,-53.11,46.0,93,100,6.93,CA,1607305563
Bendigo,-36.77,144.28,60.01,44,100,1.99,AU,1607305551
Leh,34.17,77.58,15.39,77,95,0.07,IN,1607305564
Cacoal,-11.44,-61.45,74.28,92,100,1.05,BR,1607305327
Laas,46.62,10.7,36.0,100,75,2.24,IT,1607305564
Khanewal,30.3,71.93,55.4,87,0,3.06,PK,1607305443
Flinders,-34.58,150.86,81.0,35,0,11.99,AU,1607305564
Rantepao,-2.97,119.9,83.21,53,100,1.36,ID,1607305564
Halifax,44.65,-63.57,39.0,85,100,5.01,CA,1607305564
Yershov,51.35,48.28,6.24,91,0,6.06,RU,1607305565
Tomatlán,19.93,-105.25,71.44,82,100,1.68,MX,1607305565
Hay River,60.82,-115.8,14.0,85,100,4.7,CA,1607305567
Rocha,-34.48,-54.33,51.22,90,0,3.78,UY,1607305568
Walvis Bay,-22.96,14.51,61.0,86,0,0.56,NA,1607305568
Qasigiannguit,68.82,-51.19,23.0,49,99,16.11,GL,1607305568
Pisco,-13.7,-76.22,64.4,88,0,18.34,PE,1607305568
Kaitangata,-46.28,169.85,66.61,43,36,7.74,NZ,1607305569
Melo,-32.37,-54.18,53.89,88,0,7.34,UY,1607305569
Fairbanks,64.84,-147.72,6.8,71,90,8.05,US,1607305483
Bengkulu,-3.8,102.27,81.5,74,31,5.32,ID,1607305570
Cururupu,-1.83,-44.87,77.58,87,97,4.59,BR,1607305570
Talcahuano,-36.72,-73.12,53.6,100,90,11.41,CL,1607305570
Fort Saint James,54.43,-124.25,37.38,85,100,8.77,CA,1607305281
Necochea,-38.55,-58.74,64.99,50,0,14.61,AR,1607305570
Okhotsk,59.38,143.3,-10.1,83,0,15.41,RU,1607305570
Te Anau,-45.42,167.72,61.36,52,27,10.65,NZ,1607305570
Nerchinskiy Zavod,51.31,119.61,-4.05,89,0,5.53,RU,1607305571
Kodinsk,58.69,99.18,8.67,93,100,9.6,RU,1607305571
Puerto del Rosario,28.5,-13.86,60.8,77,75,11.41,ES,1607305571
Polunochnoye,60.87,60.42,23.27,95,100,4.41,RU,1607305572
Naurskaya,43.65,45.31,32.0,86,90,15.66,RU,1607305572
Compostela,7.67,126.09,86.72,64,92,2.21,PH,1607305572
Dengzhou,37.81,120.75,36.95,80,100,11.74,CN,1607305572
Saurimo,-9.66,20.39,62.38,98,14,3.44,AO,1607305572
Cape Town,-33.93,18.42,66.2,77,0,4.7,ZA,1607305572
Farnes,61.32,7.8,29.44,89,100,5.08,NO,1607305572
Kysyl-Syr,63.9,122.76,-6.97,90,100,5.79,RU,1607305572
Clyde River,70.47,-68.59,5.0,84,75,4.76,CA,1607305572
Jacareacanga,-6.22,-57.75,74.12,94,100,1.86,BR,1607305572
Soyo,-6.13,12.37,77.29,87,95,6.29,AO,1607305572
Ruteng,-8.61,120.47,74.77,76,98,3.2,ID,1607305572
Ust'-Omchug,61.15,149.63,-10.16,87,100,2.95,RU,1607305573
Saint-Nazaire,47.28,-2.2,32.0,78,93,2.24,FR,1607305573
Longyearbyen,78.22,15.64,28.4,92,90,27.51,SJ,1607305502
Chui,-33.7,-53.46,56.16,74,4,4.92,UY,1607305573
Bauchi,10.5,10.0,69.76,32,100,3.74,NG,1607305573
Vardø,70.37,31.11,33.66,85,100,2.24,NO,1607305573
Tsumeb,-19.23,17.72,72.43,54,8,8.12,NA,1607305573
San Luis,-33.3,-66.34,67.91,41,0,10.33,AR,1607305530
Hue,16.47,107.6,66.2,100,75,5.82,VN,1607305573
Athabasca,54.72,-113.29,30.2,63,50,3.36,CA,1607305421
Houma,29.6,-90.72,50.0,87,90,5.82,US,1607305574
Boa Vista,2.82,-60.67,82.4,69,40,5.82,BR,1607305467
Barrow,71.29,-156.79,1.4,70,1,9.17,US,1607305574
Lompoc,34.64,-120.46,54.0,87,1,8.05,US,1607305574
Roald,62.58,6.13,39.2,86,100,10.29,NO,1607305574
Provincia di Ancona,43.55,13.17,46.99,100,0,3.36,IT,1607305574
Hammerfest,70.66,23.68,28.4,86,40,23.04,NO,1607305574
Constitución,-35.33,-72.42,52.52,91,63,6.71,CL,1607305575
Araguaçu,-12.93,-49.83,73.4,84,100,3.15,BR,1607305575
Faanui,-16.48,-151.75,80.74,72,88,8.88,PF,1607305575
Miandrivazo,-19.52,45.47,78.84,76,0,1.54,MG,1607305575
Seymchan,62.88,152.43,-9.74,89,100,0.69,RU,1607305575
Fort Nelson,58.81,-122.7,21.2,92,75,6.93,CA,1607304823
Xining,36.62,101.77,18.0,83,40,2.84,CN,1607305575
Pangnirtung,66.15,-65.71,0.5,87,95,2.01,CA,1607305575
Nanortalik,60.14,-45.24,30.02,94,42,6.33,GL,1607305575
Ketchikan,55.34,-131.65,48.2,93,90,20.8,US,1607305537
Iqaluit,63.75,-68.51,14.0,72,90,9.17,CA,1607305576
Caravelas,-17.71,-39.25,74.91,83,98,7.11,BR,1607305576
Vila Velha,-20.33,-40.29,77.0,83,40,9.17,BR,1607305508
Obo,5.4,26.49,69.84,36,50,2.42,CF,1607305576
Lufilufi,-13.87,-171.6,86.0,84,75,9.17,WS,1607305576
Taranovskoe,52.82,62.52,12.09,90,91,5.95,KZ,1607305576
Dhidhdhoo,6.88,73.1,81.23,79,92,10.09,MV,1607305293
Hobyo,5.35,48.53,78.21,72,18,9.08,SO,1607305576
Stromness,58.97,-3.3,37.4,93,16,2.24,GB,1607305576
Muzhi,65.37,64.67,27.39,94,72,14.56,RU,1607305577
Sisimiut,66.94,-53.67,25.27,94,100,15.55,GL,1607305577
Labuhan,-6.88,112.21,82.33,82,100,20.6,ID,1607305577
Nemuro,43.32,145.57,35.6,69,75,9.17,JP,1607305393
Najrān,17.49,44.13,62.6,67,0,2.24,SA,1607305577
Pargas,60.31,22.3,41.0,93,90,9.17,FI,1607305577
Margate,51.38,1.39,41.0,84,100,4.0,GB,1607305504
Marfino,55.7,37.38,16.0,78,0,6.71,RU,1607305577
Esperance,-33.87,121.9,64.4,48,42,8.05,AU,1607305577
Kloulklubed,7.04,134.26,82.4,83,75,4.7,PW,1607305577
Chino Valley,34.76,-112.45,50.0,18,1,1.83,US,1607305578
Sistranda,63.73,8.83,37.4,74,0,10.29,NO,1607305578
Upernavik,72.79,-56.15,20.95,97,100,3.42,GL,1607305026
Ulan-Ude,51.83,107.61,10.4,78,75,6.71,RU,1607305578
Togur,58.36,82.83,11.17,94,100,14.14,RU,1607305578
Luwuk,-0.95,122.79,86.97,62,100,2.64,ID,1607305578
Pevek,69.7,170.31,4.86,93,100,2.04,RU,1607305458
Amapá,1.0,-52.0,74.05,85,33,3.38,BR,1607305578
Ponta do Sol,32.67,-17.1,59.0,77,40,3.36,PT,1607305578
Sioux Lookout,50.1,-91.92,24.8,100,90,2.24,CA,1607305523
Kirakira,-10.45,161.92,83.64,74,98,4.16,SB,1607305578
Luk Pu,23.17,112.28,62.01,99,35,3.85,CN,1607305578
Port Shepstone,-30.74,30.45,70.7,81,100,5.57,ZA,1607305579
Henties Bay,-22.12,14.28,61.0,86,12,1.07,NA,1607305579
Teya,60.38,92.63,7.79,90,100,14.63,RU,1607305579
Baishishan,43.58,127.57,14.11,91,75,6.42,CN,1607305579
Makaha,21.47,-158.22,84.2,65,75,12.75,US,1607305579
Olafsvik,64.89,-23.71,32.97,95,100,11.18,IS,1607305579
Yar-Sale,66.83,70.83,26.82,95,53,21.14,RU,1607305580
Dingle,11.0,122.67,83.21,80,100,5.59,PH,1607305580
Abhā,18.22,42.51,53.6,93,0,3.36,SA,1607305581
Baykit,61.67,96.37,8.73,91,100,6.33,RU,1607305581
Pļaviņas,56.62,25.73,28.11,88,0,11.34,LV,1607305581
Naze,28.37,129.48,75.2,94,75,9.17,JP,1607305581
Narsaq,60.92,-46.05,28.4,58,8,9.17,GL,1607305581
Arlit,18.74,7.39,72.86,23,0,5.1,NE,1607305582
Black Forest,39.01,-104.7,41.0,19,1,9.17,US,1607305346
Tomohon,1.33,124.84,81.72,67,96,0.2,ID,1607305582
Jurm,36.86,70.83,39.63,65,100,5.03,AF,1607305582
Maracaibo,10.63,-71.64,80.42,80,89,9.31,VE,1607305582
San Policarpo,12.18,125.51,84.31,79,100,9.01,PH,1607305582
Aksarayskiy,46.79,48.01,8.6,78,0,11.18,RU,1607305583
Yarmouth,41.71,-70.23,36.0,59,1,10.29,US,1607305583
Vung Tau,10.35,107.08,79.12,80,100,4.79,VN,1607305583
Chilca,-12.52,-76.74,66.2,82,40,12.75,PE,1607305583
Husavik,66.04,-17.34,15.8,85,20,4.7,IS,1607305583
Brandon,27.94,-82.29,66.0,59,90,3.36,US,1607305583
Singapore,1.29,103.85,84.2,74,75,13.87,SG,1607305584
Ubari,26.59,12.78,49.14,49,11,5.08,LY,1607305584
Resistencia,-27.46,-58.98,69.8,68,0,6.93,AR,1607305584
Kinna,57.51,12.69,46.99,93,90,11.41,SE,1607305584
Manaure,11.78,-72.44,80.76,80,66,15.7,CO,1607305585
Baiquan,47.58,126.08,11.37,84,0,11.12,CN,1607305585
Zilair,52.23,57.44,12.38,85,71,5.1,RU,1607305585
Simnas,54.4,23.65,30.2,46,54,12.75,LT,1607305585
Diré,12.28,-10.97,72.54,30,0,2.3,ML,1607305586
Ouadda,8.08,22.4,71.58,22,79,5.95,CF,1607305586
Toamasina,-18.17,49.38,73.4,94,40,2.24,MG,1607305586
Nha Trang,12.25,109.18,77.0,83,75,17.22,VN,1607305586
Charters Towers,-20.1,146.27,97.02,25,31,7.85,AU,1607305586
La Crosse,43.8,-91.24,34.0,74,90,4.7,US,1607305510
Mossamedes,-15.2,12.15,66.43,75,7,7.58,AO,1607305586
Bubaque,11.28,-15.83,81.46,62,0,10.25,GW,1607305586
Buala,-8.14,159.59,84.49,74,98,4.65,SB,1607305587
Conceição das Alagoas,-19.91,-48.39,71.6,94,90,3.36,BR,1607305587
Tulun,54.56,100.58,11.55,87,100,6.15,RU,1607305587
Saulkrasti,57.26,24.41,33.8,43,0,16.11,LV,1607305587
Gualaquiza,-3.4,-78.55,63.37,89,98,2.04,EC,1607305587
Mapimí,25.82,-103.85,57.2,26,5,1.68,MX,1607305587
Rancho Palos Verdes,33.74,-118.39,60.8,29,40,10.29,US,1607305311
Viedma,-40.81,-63.0,78.01,22,90,4.0,AR,1607305587
Port Blair,11.67,92.75,81.68,70,3,13.53,IN,1607305437
Sabang,5.89,95.32,81.07,79,100,11.18,ID,1607305588
Nuuk,64.18,-51.72,32.0,97,100,16.11,GL,1607305425
Pestravka,52.41,49.96,7.09,88,0,4.59,RU,1607305588
Richards Bay,-28.78,32.04,69.49,93,43,7.25,ZA,1607305588
Santa Cruz de la Sierra,-17.8,-63.17,73.4,69,75,3.36,BO,1607305376
Zabul Province,32.25,67.25,41.22,77,62,5.86,AF,1607305590
Joensuu,62.6,29.76,35.01,100,90,9.17,FI,1607305590
Bitung,1.45,125.18,85.93,67,100,3.71,ID,1607305523
Mbandaka,0.05,18.26,71.01,93,98,2.68,CD,1607305590
Bushehr,28.97,50.84,64.4,77,20,19.46,IR,1607305590
Kuytun,54.34,101.5,9.43,90,99,6.38,RU,1607305590
Fare,-16.7,-151.02,81.1,73,100,9.95,PF,1607305590
Luanda,-8.84,13.23,77.0,88,75,8.05,AO,1607305424
East Wenatchee Bench,47.43,-120.28,32.0,92,90,4.7,US,1607305591
Port Elizabeth,-33.92,25.57,66.2,93,90,14.99,ZA,1607305345
Udachny,66.42,112.4,-7.6,76,90,11.18,RU,1607305591
Krivodanovka,55.09,82.66,1.4,84,90,11.18,RU,1607305591
Galle,6.04,80.22,78.01,83,64,3.83,LK,1607305591
San Patricio,28.02,-97.52,57.0,71,1,6.93,US,1607305591
Vila Franca do Campo,37.72,-25.43,59.0,82,75,2.24,PT,1607304830
Pak Phanang,8.35,100.2,82.4,83,20,3.36,TH,1607305510
Anloga,5.79,0.9,80.6,88,20,4.7,GH,1607305592
Shingū,33.73,135.98,57.2,54,0,5.82,JP,1607305592
Kaseda-shirakame,31.42,130.32,55.4,82,20,3.36,JP,1607305592
Tuatapere,-46.13,167.68,66.99,60,0,3.0,NZ,1607305592
Jaicós,-7.36,-41.14,82.35,45,71,2.01,BR,1607305592
Port Hawkesbury,45.62,-61.35,42.01,86,75,11.41,CA,1607305592
Belgrade,44.8,20.47,44.6,70,0,24.16,RS,1607305300
Torres,-29.34,-49.73,65.68,91,100,13.53,BR,1607305593
Broome,42.25,-75.83,28.99,79,90,10.29,US,1607305593
Belyy Yar,53.6,91.39,-2.2,77,20,2.24,RU,1607305593
Vestmannaeyjar,63.44,-20.27,43.05,76,100,32.86,IS,1607305593
Presidente Epitácio,-21.76,-52.12,73.98,90,88,6.33,BR,1607305593
Holbæk,55.72,11.72,46.0,86,100,13.0,DK,1607305593
Puerto Limón,10.0,-83.03,77.94,81,86,2.04,CR,1607305593
Palimbang,6.21,124.19,85.78,64,51,5.21,PH,1607305593
Plettenberg Bay,-34.05,23.37,66.4,90,97,20.13,ZA,1607305594
Farafangana,-22.82,47.83,71.74,93,36,4.38,MG,1607305594
Poienile de sub Munte,47.82,24.43,36.95,80,0,4.92,RO,1607305594
Savé,8.04,2.49,77.85,79,0,4.94,BJ,1607305594
Nianzishan,47.52,122.88,16.41,73,0,11.48,CN,1607305594
Severo-Yeniseyskiy,60.37,93.04,3.99,93,100,16.6,RU,1607305594
Solnechnyy,50.72,136.63,14.16,82,0,2.01,RU,1607305594
Hong Kong,22.29,114.16,68.0,62,0,1.01,HK,1607305521
Bekeshevskaya,44.11,42.43,23.0,92,90,13.42,RU,1607305594
Buraidah,26.33,43.98,48.2,100,0,2.24,SA,1607305594
Pingzhuang,42.04,119.29,9.64,83,0,3.65,CN,1607305595
Barcelos,41.54,-8.62,55.4,100,75,6.93,PT,1607305595
Mirpur Mathelo,28.02,69.55,61.88,39,0,8.43,PK,1607305595
Mount Isa,-20.73,139.5,95.0,16,40,11.41,AU,1607305595
Caucaia,-3.74,-38.65,81.0,78,40,10.29,BR,1607305595
Kawalu,-7.38,108.21,74.66,87,99,0.83,ID,1607305595
Thompson,55.74,-97.86,17.6,100,90,6.93,CA,1607305367
Polewali,-3.43,119.34,88.41,52,100,2.04,ID,1607305595
Truth or Consequences,33.13,-107.25,51.8,18,1,0.58,US,1607305595
Hayden,47.77,-116.79,28.4,92,1,9.17,US,1607305537
Semnan,35.57,53.4,40.15,71,95,3.44,IR,1607305596
Khasan,42.43,130.64,29.14,80,1,19.3,RU,1607305596
Ipixuna,-1.76,-48.8,78.8,83,0,5.82,BR,1607305596
Avera,33.19,-82.53,51.8,87,90,5.23,US,1607305596
Grand-Santi,4.25,-54.38,74.53,89,92,3.09,GF,1607305596
Santiago del Estero,-27.8,-64.26,69.98,47,0,9.26,AR,1607305596
Tibiao,11.29,122.04,82.99,75,99,1.83,PH,1607305596
‘Ewa Beach,21.32,-158.01,84.2,58,90,14.99,US,1607305596
Āstāneh-ye Ashrafīyeh,37.26,49.94,43.93,88,100,9.04,IR,1607305596
Eyl,7.98,49.82,74.46,80,10,8.72,SO,1607305597
Manavālakurichi,8.13,77.3,79.45,81,100,3.56,IN,1607305597
Makakilo City,21.35,-158.09,84.2,58,90,14.99,US,1607305597
Kharagauli,42.02,43.2,46.4,52,0,28.86,GE,1607305597
Nisibis,37.08,41.22,45.72,55,0,3.53,TR,1607305597
Mount Gambier,-37.83,140.77,55.4,58,75,18.34,AU,1607305597
Mhlambanyatsi,-26.45,31.02,35.6,93,31,2.24,SZ,1607305597
Sokodé,8.98,1.13,77.25,54,42,3.29,TG,1607305597
Diofior,14.18,-16.67,71.6,78,0,17.22,SN,1607305597
Juegang,32.32,121.19,46.99,90,100,1.99,CN,1607305597
Asău,46.43,26.4,30.0,12,100,4.76,RO,1607305597
Yumen,40.28,97.2,12.16,91,100,5.97,CN,1607305597
Kamina,-8.74,24.99,61.81,98,39,3.67,CD,1607305598
Naro,37.29,13.79,45.0,90,99,13.4,IT,1607305598
Chapais,49.78,-74.85,14.0,92,90,11.41,CA,1607305598
Katherine,-14.47,132.27,87.8,55,40,4.7,AU,1607305598
Lake Shasta,40.68,-122.37,64.4,27,1,10.29,US,1607305598
Yulara,-25.24,130.99,84.2,17,90,12.75,AU,1607305598
Belaya Gora,68.53,146.42,-23.94,86,100,1.01,RU,1607305598
Ponta Delgada,37.73,-25.67,59.0,82,75,2.24,PT,1607305598
Merauke,-8.47,140.33,87.87,64,64,6.4,ID,1607305598
Santo Antônio do Içá,-3.1,-67.94,74.16,97,86,1.32,BR,1607305598
Port Hardy,50.7,-127.42,51.8,76,90,11.41,CA,1607305503
Coquimbo,-29.95,-71.34,55.4,87,49,5.82,CL,1607305343
Kudahuvadhoo,2.67,72.89,82.49,77,67,12.3,MV,1607305599
